##  [FEAT]Login

##  FRONTEND

1)  Usuário(já cadastrado) insere a matrícula e a senha;
2)  Usuário digita enter e envia uma requisição do tipo post(tem payload).

##  BACKEND
3)  O payload é processado;
4)  Compara-se com o dado no banco de dados para validar o login;
5)  Se for verdadeiro retornar os dados usuário(de fichas, cardápio, nome). Se for falso retornar mensagem de erro.

##  [FEAT]get financeiro
##  FRONTEND
1)  Usuário fez um requisição para pegar os dados financeiro.

##  BACKEND
2)  Pega o pacote e identifica o dio escolhido;
3)  Retorna as informações necessária.


